Distance [m],u [m/s],time [s],T [K],P [Pa],H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,C2H2,C2H3,C2H4,C2H5,C2H6,AR,N2,PT(S),H(S),H2O(S),OH(S),CO(S),CO2(S),CH3(S),CH2(S),CH(S),C(S),O(S)
0.08,10.129782379630786,0.00834618620974513,1012.9782327506375,101324.99999999997,9.097544250427715e-09,1.647329210133104e-13,1.3978326862319285e-13,0.20296723764859775,1.3984167968249038e-12,0.0011143632148498206,2.538269549210635e-08,1.6832222472189332e-09,-4.084945690910726e-32,5.158068698506748e-25,2.303084096558343e-18,2.0549998524021742e-19,3.168993463375091e-08,0.02801421089428399,5.766044195075269e-14,0.0005571852802737815,3.4224185730187424e-18,7.13779623295885e-21,2.196952332114924e-12,2.7647472366580258e-15,2.777283453418036e-10,0.0,0.7673469348269094,0.0030234842622185666,1.9084342091055176e-07,3.759869572829092e-09,6.292363353651574e-05,1.0045680686914003e-07,4.405773563926893e-12,1.3713698460890977e-09,1.3713698460890977e-09,1.3713698460890977e-09,6.69825176305939e-10,0.9969132922556088
0.084,10.137093887294663,0.008740776616473836,1013.7093828952837,101324.99999999994,1.0161813161394171e-08,1.758448107097521e-13,1.4955213357669245e-13,0.20290438722789253,1.5422755589125365e-12,0.0011772116570786092,2.6687844817488372e-08,1.8245224272528994e-09,8.397279434752914e-32,5.695964434715176e-25,2.637833193601267e-18,2.360928848631978e-19,3.3681047197372296e-08,0.027982784162722475,5.825429560821007e-14,0.0005886099089385896,4.428853992469895e-18,8.942387346236305e-21,2.5781160531110045e-12,3.131157266293458e-15,3.24529438535571e-10,0.0,0.7673469343591038,0.0030525955589148384,1.982601473186893e-07,3.990417262603544e-09,6.474366440307202e-05,1.0130013711145501e-07,4.474886609934859e-12,1.3796581740066647e-09,1.3796581740066649e-09,1.3796581740066647e-09,6.778937189118455e-10,0.9968823524044391
0.088,10.144534326301617,0.009135077613579628,1014.4534261217574,101325.0,1.1315637300460998e-08,1.8740137744930416e-13,1.5974932324791556e-13,0.20284042104642155,1.6949843613305225e-12,0.001241175801218203,2.8004542135855348e-08,1.969743886400904e-09,3.5113529574240236e-31,6.281486529100114e-25,3.0088339460666543e-18,2.700871706744573e-19,3.5726923364525855e-08,0.02795079947946646,5.886385524023855e-14,0.0006205924216017312,5.6786577382137485e-18,1.111771428027728e-20,3.008096954800856e-12,3.532342464482981e-15,3.770221224315194e-10,0.0,0.7673469338523106,0.0030824649857697584,2.0583629227801148e-07,4.22763411575967e-09,6.656430114956656e-05,1.0216404747203157e-07,4.546212451668328e-12,1.388127002563559e-09,1.3881270025635586e-09,1.3881270025635584e-09,6.86190181783934e-10,0.9968506536297906
0.092,10.152108118801921,0.009529084449719068,1015.2108046415669,101324.99999999999,1.2565302981063703e-08,1.9942811004141392e-13,1.7040072479892054e-13,0.20277530069677102,1.8568913359950775e-12,0.001306294051022736,2.9333271816915866e-08,2.118684181200353e-09,-1.7175227614968841e-34,6.919217116996664e-25,3.4191719927422028e-18,3.077779334867942e-19,3.7829183562242394e-08,0.02791823763745898,5.948979856353947e-14,0.0006531520226474542,7.21996359767528e-18,1.372593155498259e-20,3.4914310586516614e-12,3.970826722642418e-15,4.3568447360819745e-10,0.0,0.7673469333041912,0.0031131250518742284,2.1358500354935918e-07,4.471817730877229e-09,6.838767915001178e-05,1.0304938137858992e-07,4.6198592294322846e-12,1.3967832224966458e-09,1.396783222496646e-09,1.3967832224966462e-09,6.947248188213507e-10,0.99681816127288
0.096,10.159819913646212,0.009922792215607922,1015.9819833360824,101325.00000000001,1.3917614565922993e-08,2.119523676449841e-13,1.815342088895886e-13,0.2027089857981473,2.0283708392694644e-12,0.0013726067837949191,3.0674545530219754e-08,2.2711425556155154e-09,-8.249881596092489e-32,7.614236862875221e-25,3.872178553713053e-18,3.4948384663149235e-19,3.9989494861604515e-08,0.027885078442480848,6.013284416213686e-14,0.0006863089034932207,9.1087373872661e-18,1.683794104479921e-20,4.032982264969285e-12,4.4493086339197275e-15,5.010230430241301e-10,0.0,0.7673469327117437,0.003144610222104658,2.2151979183463537e-07,4.723283983937972e-09,7.021584215337352e-05,1.0395703120732018e-07,4.695942245132165e-12,1.4056341040234143e-09,1.4056341040234143e-09,1.405634104023414e-09,7.035085217971983e-10,0.9967848388103292
0.1,10.167674603972419,0.010316195835986567,1016.7674515150187,101325.0,1.5379946110074346e-08,2.250035516445106e-13,1.931798181661333e-13,0.20264143384199879,2.209825748132376e-12,0.0014401565037739505,3.202890450647645e-08,2.4269199362509832e-09,1.0359332461308251e-32,8.372187598223661e-25,4.371452242484311e-18,3.955492832723008e-19,4.220957595497163e-08,0.027851300636494134,6.079375484889887e-14,0.0007200843192719756,1.1409859720276634e-17,2.0534494351592366e-20,4.637965488854569e-12,4.970674516484327e-15,5.735743929796262e-10,0.0,0.7673469320722084,0.0031769570780195524,2.2965463143916095e-07,4.982368538373181e-09,7.20507633089671e-05,1.0488794223679728e-07,4.774584585341473e-12,1.4146873267298088e-09,1.4146873267298088e-09,1.414687326729809e-09,7.125528737780723e-10,0.9967506476721394
0.10400000000000001,10.175677343154158,0.01070929006108259,1017.5677245113827,101325.00000000001,1.696029791162107e-08,2.3861329174548956e-13,2.0536997290026888e-13,0.2025726000537153,2.4016899293216374e-12,0.0015089879811397485,3.3396921517068056e-08,2.5858188633158444e-09,-9.04442856217007e-35,9.199343664485756e-25,4.920883047004318e-18,4.463466471030482e-19,4.449120165018296e-08,0.02781688182805077,6.147334107876425e-14,0.0007545006583884992,1.4198340074253066e-17,2.4907427598178915e-20,5.311970994908484e-12,5.538012483561552e-15,6.53906651722061e-10,0.0,0.7673469313823345,0.0032102044808936148,2.3800405685586248e-07,5.249428397025705e-09,7.389436286911802e-05,1.0584311656752199e-07,4.855917775880554e-12,1.423951008315389e-09,1.423951008315389e-09,1.423951008315389e-09,7.218702039868121e-10,0.9967155470608551
0.108,10.183833564189513,0.011102069457448608,1018.3833456202344,101325.00000000003,1.8667360502614915e-08,2.528156559075728e-13,2.1813970298767817e-13,0.2025024372229071,2.6044310201611306e-12,0.0015791484212616237,3.477920333984516e-08,2.7476434553578657e-09,-3.821043945830927e-31,1.0102693889286365e-24,5.524679099059112e-18,5.022789751392978e-19,4.68362085243014e-08,0.027781798407659125,6.217246487457454e-14,0.0007895815271583634,1.7560684836324045e-17,3.0061050201332996e-20,6.060991006828461e-12,6.15462805336098e-15,7.42621197892377e-10,0.0,0.767346930638772,0.0032443937595049545,2.4658326252887583e-07,5.524843676462704e-09,7.574852436014404e-05,1.0682361768320572e-07,4.94008252625228e-12,1.4334337385036718e-09,1.4334337385036712e-09,1.4334337385036712e-09,7.314736506714967e-10,0.9966794937474944
0.112,10.192148999616863,0.01149452839816721,1019.2148880902803,101325.00000000001,2.0510585855581456e-08,2.6764738229619963e-13,2.3152690542782004e-13,0.20243089552984217,2.8185534859158206e-12,0.001650687638469746,3.617639326938976e-08,2.9121993466983753e-09,-4.897548501493479e-34,1.109003563680318e-24,6.187396385725703e-18,5.637828291586606e-19,4.924650079392594e-08,0.027746025460836068,6.289204403753496e-14,0.0008253518367364285,2.1596433559540264e-17,3.61137046238574e-20,6.89144817412287e-12,6.82406125362325e-15,8.403544119567248e-10,0.0,0.7673469298378031,0.003279568911407375,2.5540820435199495e-07,5.80901951847486e-09,7.761510892615646e-05,1.0783057529432097e-07,5.027229540313533e-12,1.4431446146196698e-09,1.4431446146196702e-09,1.4431446146196702e-09,7.41377228865761e-10,0.9966424418558265
0.116,10.200629704069168,0.011886661052334643,1020.0629573792355,101324.99999999996,2.250026758360471e-08,2.831481394229974e-13,2.4557263367511245e-13,0.20235792234858732,3.0446020376185527e-12,0.0017236582527594482,3.758917398528927e-08,3.07929363392006e-09,-5.5249603327893984e-33,1.2170083163159334e-24,6.913971955559954e-18,6.313315292125882e-19,5.1724057084756494e-08,0.027709536669712372,6.363305685866208e-14,0.0008618379015034504,2.641988745716105e-17,4.3199521988808303e-20,7.810226493042518e-12,7.550105572714395e-15,9.477795470403433e-10,0.0,0.7673469289754108,0.0033157768282540876,2.6449570671772416e-07,6.102388225199146e-09,7.949596867794401e-05,1.0886519077002795e-07,5.11752042367672e-12,1.4530932815852376e-09,1.4530932815852376e-09,1.4530932815852382e-09,7.515959062158146e-10,0.9966043426235873
